event_id,p_spot,p_track,p_worm,x_coord,y_coord,width,length,azwidth
221029873,0.983835697,0.004224318,0.008651988,2130,724,0.85093195,1.831094707,3.341910672
6498486,0.999690771,6.16E-05,0.000239627,1105,416,0.967146412,1.60216752,2.422484444
7157777,0.999990821,3.45E-06,5.52E-06,269,357,0.639556891,0.947147122,0.504655387
7436537,0.999998212,5.14E-07,5.18E-07,1886,1078,2.036791366,66.42572172,4239.933043
7439285,0.999998689,4.78E-07,5.43E-07,2129,1848,0.613432207,16.20691298,262.4211687
8339063,0.999989152,2.51E-06,8.20E-06,2379,1493,0.866092785,19.46853112,378.9530925
8557004,0.829595208,5.38E-05,0.024450587,169,518,1.81922293,6.248660742,36.13598708
9050313,0.970880091,0.00216666,0.026942965,587,191,0.728642908,13.63388327,185.5733045
9421049,0.979685128,1.28E-06,0.000427276,1233,287,0.956915198,5.680125054,18.596403
12736594,0.942349732,1.46E-06,3.68E-05,1784,532,0.597210338,3.507314354,12.13171404
12766838,0.915047288,3.08E-06,9.20E-05,254,996,0.979299689,1.174916786,1.249896094
13023137,0.883321762,0.00049772,0.078184597,1568,394,1.608434256,64.39979122,4145.012192
13441988,0.873486042,0.11351265,0.0127082,1266,1406,0.277255968,1.607040304,2.425053375
13442400,0.911629021,1.59E-07,1.32E-05,826,976,0.737432448,0.915511773,0.581173833
13737637,0.998368323,0.000486762,0.000925232,2282,1708,0.546890198,188.6265333,35578.37685
14526303,0.99999845,3.20E-07,6.42E-07,2194,1839,1.006702057,38.95714713,1517.651426
14530265,0.999879837,7.11E-05,4.86E-05,1419,680,0.503978106,0.914357183,0.835659776
14530357,0.983285844,0.002522348,0.003050178,2498,171,1.395103894,1.682859268,2.61905273
14530483,0.999926209,3.18E-06,6.93E-05,1873,76,1.141023504,14.73216286,214.3801481
14598382,0.908039689,0.047102209,0.04419693,1595,1843,0.54953647,1.383040326,1.848702654
14973831,0.999995589,9.77E-07,3.37E-06,182,599,0.567194751,0.866578258,0.324835485
15190189,0.990643978,0.003476569,0.005784015,1335,167,0.933642709,1.769290421,3.022990787
15264559,0.995208919,0.001398939,0.002941556,2144,613,0.606551388,24.89434319,619.1870593
15265075,0.999881268,2.02E-05,6.22E-05,671,1880,1.153965025,1.542499417,2.34831606
15265095,0.889344454,0.023547651,0.086622015,1186,561,1.751746847,43.83537399,1919.862254
15265639,0.95595932,5.52E-06,0.00022826,716,1312,0.536395425,1.655195273,2.692973438
15266646,0.977383375,9.18E-06,0.001884118,1037,863,0.977536212,4.651074467,20.35608567
15322564,0.985820889,0.009460423,0.004631403,2215,1570,0.671939567,1.555599404,1.566502778
16139936,0.987264395,0.000772858,0.011923238,1095,173,1.309980294,33.04074309,1091.685099
16524904,0.999767244,8.42E-05,0.0001464,2214,287,0.533065787,1.185018165,1.316801932
18981545,0.999997735,6.96E-07,1.53E-06,280,483,0.632528474,0.747450517,0.404576195
19230673,0.999988317,2.38E-06,8.98E-06,1455,754,1.155048716,1.391072439,1.802886078
21091990,0.999969244,8.26E-06,1.67E-05,1645,180,1.231158213,115.1786099,13265.58868
21503819,0.824319303,0.069535077,0.069666922,2410,113,1.231095739,1.782441147,2.974866312
22028970,0.999999642,1.70E-07,2.53E-07,2119,508,0.509417621,47.08908884,2217.016348
22900675,0.816666663,0.072200857,0.107535034,534,187,1.072880043,2.114526005,4.46190556
23437914,0.999854922,5.91E-05,8.26E-05,161,318,0.651652467,1.31737415,1.47512068
23473625,0.999180734,0.000532172,0.000277742,1215,240,0.223441869,1.360732247,1.655420288
31345817,0.999999881,1.34E-08,7.99E-08,200,55,0.903307298,26.15996856,684.3403679
31313788,0.886644542,0.022576619,0.027474176,2480,1080,1.27042606,1.918783379,3.660127838
31345026,0.997566581,0.00196819,0.000435844,2234,677,0.495146915,1.123885233,0.98948528
31345011,0.999999523,1.02E-07,3.24E-07,1552,212,0.93563629,1.134455879,0.929201168
32673415,0.999930382,2.09E-05,4.61E-05,1550,1067,0.617763757,1.250017093,1.161233573
33871926,0.999998927,5.57E-07,3.91E-07,849,390,0.513164531,0.753572134,0.476632676
34255228,0.86024785,0.019352762,0.119962148,1439,942,1.006869494,73.17080766,5331.495658
34047586,0.999997377,8.11E-07,1.85E-06,42,163,0.657501143,0.89156808,0.432657907
34103561,0.999924541,2.38E-05,5.11E-05,762,626,1.028118798,42.84662647,1834.189954
34107588,0.994265616,0.002695065,0.002115224,283,606,0.531332149,18.25049844,332.7814193
34195300,0.999998212,6.42E-07,1.19E-06,1424,563,0.914679914,1.087146797,1.177456386
34225471,0.999992132,3.98E-06,3.80E-06,1118,101,0.918802271,338.1041381,114314.1643
34235071,0.998453975,0.000419254,0.001119355,359,560,1.328133955,72.40145604,5205.180894
34249836,0.999999762,6.46E-08,9.51E-08,2504,1435,1.154892401,369.3692672,136433.431
34255040,0.981577456,0.013181688,0.005141771,415,877,0.61333967,1.518079938,2.162322407
34278130,0.999984503,8.18E-06,6.61E-06,1593,1883,0.548710194,0.716806033,0.507725489
34296380,0.871299267,0.085155524,0.042001307,2438,785,0.878488385,37.7134545,1422.118104
34305291,0.991621614,0.000617217,0.007737124,1762,1426,0.859617246,1.757425311,3.059401968
34312817,0.999999762,6.58E-08,6.66E-08,1329,1098,0.734256444,302.7215286,91640.30916
34326182,0.999999166,2.04E-07,5.81E-07,198,1055,0.939794944,0.980130643,0.950663137
36127926,0.999929667,1.92E-05,4.60E-05,2140,327,0.64221474,1.121957399,0.911318764
36340062,0.819048285,0.103743978,0.076292567,1824,1276,1.174670593,164.7392618,27120.45099
36359357,0.99992764,1.81E-05,5.20E-05,866,681,0.27870535,0.951748956,0.705721597
36577737,0.838099658,0.079822682,0.080613978,429,1284,1.338842106,20.36252433,414.5599486
37013054,0.802598119,0.028876217,0.167151973,2029,1314,0.610513852,2.174356501,4.390390921
37246461,0.999881387,4.91E-05,6.72E-05,2162,1572,0.756052945,306.8441448,94147.73755
37640591,0.99999845,4.78E-07,9.14E-07,789,1157,0.480852783,0.786166889,0.231425251
37695257,0.999997973,4.98E-07,1.26E-06,976,214,0.664913546,0.894721248,0.681639176
37723244,0.955672979,0.015237975,0.028907048,1381,335,0.880808634,1.631489971,1.955622045
37735286,0.999999523,2.47E-07,2.90E-07,1077,1054,0.58278392,0.980536189,0.68907666
37847352,0.999991894,2.88E-06,5.16E-06,915,1631,0.730303056,1.219881258,1.472303273
37863793,0.999975324,8.22E-06,1.61E-05,1964,853,0.751377404,1.291598521,1.196691541
37926981,0.99999845,7.96E-07,5.01E-07,1271,136,0.464655635,0.942194035,0.637430928
37959551,1,3.13E-08,3.47E-08,127,312,0.536462767,0.753186294,0.521437092
38029967,0.996789753,0.000174049,0.000591903,141,1770,1.200091633,1.532978057,1.694846972
38150330,0.98387593,0.013317135,0.002677791,2177,1318,0.462998502,34.36874013,1181.206418
38173724,0.999978304,3.31E-06,9.21E-06,368,85,1.277338167,1.360713135,1.789541657
38251368,0.996727347,0.002732361,0.000534978,1960,799,0.458711493,1.465297812,2.108287115
