event_id,p_spot,p_track,p_worm,x_coord,y_coord,width,length,azwidth
198624015,0.804157615,0.000241985,0.000514961,5268,2955,968.1327262,2600.763436,5366533.746
198630013,0.971088469,3.25E-06,1.88E-05,5239,1345,377.8618442,2493.418928,5802082.641
439127017,0.997111201,1.49E-06,4.73E-06,5241,2809,787.3516809,2485.415751,6175690.76
439129498,0.86284095,1.15E-05,7.47E-05,5275,2914,495.3247075,2483.669724,6167324.73
510435382,0.994299173,3.98E-08,9.19E-07,5179,897,0.646684276,2468.582838,6093899.593
439127089,0.987472296,4.05E-07,3.77E-06,4555,2655,12.00637848,2457.304386,6038344.574
198631385,0.845351219,3.67E-07,7.85E-06,5105,125,41.70224386,2435.356438,5927772.872
442556469,0.827448308,4.08E-06,5.26E-05,4896,3001,634.0615388,2407.137482,5756390.792
435375075,0.958701372,3.24E-06,3.95E-05,4972,2101,155.5030471,2378.510018,5657226.851
256733779,0.999868035,1.47E-06,3.51E-06,5021,2233,45.44417083,2374.043079,5636079.492
437337922,0.92846632,1.43E-05,0.000124261,4511,3358,1057.551722,2370.473697,5607342.56
198620113,0.9426952,2.94E-07,3.27E-06,5200,617,209.6356211,2360.602087,5539598.499
510435790,0.948894918,2.49E-08,9.56E-07,4729,2448,344.6785437,2352.264898,5533110.112
379740292,0.964716017,0.01139081,0.009112313,5553,2401,875.0906956,2344.255081,4974572.169
510491763,0.823963523,1.23E-06,2.36E-05,4690,2682,237.4703855,2290.349278,5245637.24
198624519,0.947192192,1.70E-07,2.98E-06,5208,767,197.0913337,2288.920958,5197519.379
198615183,0.958483219,1.49E-07,2.27E-06,5183,344,140.8957413,2242.149031,4958018.599
510428799,0.897112548,9.09E-08,3.12E-06,4251,2356,253.5004484,2187.602987,4784673.189
198631139,0.978251338,4.43E-06,2.22E-05,4849,2924,270.2158554,2168.264091,4701115.052
437327243,0.991347492,3.74E-08,6.86E-07,4570,2144,715.1363677,2137.878297,3693771.294
437349111,0.948853433,4.34E-06,4.51E-05,4539,831,286.3306052,2133.239685,4482999.797
437330387,0.995320976,6.84E-09,1.82E-07,4395,345,120.1996216,2130.474294,4529528.579
437335576,0.954175472,8.12E-06,3.61E-05,4539,2681,858.2075918,2130.282975,3856655.474
437335238,0.825038433,1.92E-06,3.86E-05,4507,3359,1184.264648,2123.08325,4506240.056
437333902,0.96034801,1.41E-05,5.87E-05,4537,833,321.6910653,2104.111615,4358808.454
437336458,0.844945073,1.57E-06,2.02E-05,4507,3358,1345.475752,2088.254199,3914935.582
457960885,0.863974929,3.60E-05,0.000128802,4205,2736,340.1795172,2084.383858,4344626.141
438923332,0.801047802,3.40E-07,7.63E-06,4539,831,284.9642096,2078.721612,4297271.604
437353644,0.931680679,1.27E-05,5.10E-05,4449,47,11.46316234,2064.306907,4261362.424
437337105,0.879564583,4.84E-06,3.08E-05,4541,2681,1036.598266,2058.360363,3301390.313
437354771,0.884935379,2.18E-05,0.000112276,4539,831,314.0569027,2053.569809,4129808.062
