event_id,p_spot,p_track,p_worm,x_coord,y_coord,width,length,azwidth
5675874,4.20E-07,0.997868896,0.002128828,1059,1124,0.519923585,6.092416823,37.11604752
5826730,0.000153568,0.938784957,0.060597673,648,738,0.515694053,6.058369274,36.56922106
6064108,5.21E-07,0.929259837,0.070737988,1388,1693,0.724948151,5.48532009,30.0878858
6321103,1.31E-06,0.99849987,0.001497263,826,495,0.533054251,4.299551729,18.01509962
6427545,0.000322279,0.951749623,0.047913775,1882,160,1.459496837,16.17811845,260.3055636
6546851,0.000289615,0.906495154,0.093088694,54,1580,0.544519538,3.177753837,9.346911059
6581037,0.000210762,0.862467051,0.132990375,2477,587,0.546032779,4.084896534,16.59315239
6642123,0.001024868,0.947975338,0.050852712,1774,1569,0.73120522,2.428967332,5.846755653
6684742,0.035577502,0.912520051,0.051696274,725,1801,0.542190251,1.699604309,2.886714873
7310287,2.34E-05,0.986044168,0.013895946,2472,39,0.86789154,25.74086733,662.5106625
7398601,0.002453031,0.924026072,0.073012367,1060,855,0.378021287,1.609833028,1.92100966
7426228,1.56E-06,0.989735842,0.010262314,728,463,0.621262245,10.85114756,71.59172568
7481229,0.000248508,0.834278345,0.165299132,99,569,0.560633856,8.257375473,65.95483332
8258817,6.85E-06,0.98679775,0.013179242,713,1793,0.785903739,8.426406703,68.11439212
9050352,7.32E-05,0.947912037,0.051783219,191,1897,0.545093865,4.489910127,20.08628887
12316188,0.000232799,0.918071628,0.081646748,2087,1675,0.82862625,7.084238836,49.93753506
12839752,0.000518173,0.965314925,0.033308208,2199,1672,0.405957338,12.44622097,154.835067
13009405,2.19E-05,0.944393277,0.055565462,1639,991,0.618320447,14.7341494,212.1390772
13022601,1.53E-05,0.973546565,0.026244821,2080,914,0.53413782,20.0404794,401.6207378
13441952,0.000166043,0.976592779,0.023085227,1291,1135,0.737570511,17.93629798,321.603103
13480337,2.43E-05,0.97437036,0.025580999,1035,246,0.512287448,2.373331441,5.563405873
