event id,p_spot,p_track,p_worm,x_coord,y_coord,width,length,azwidth
1,0.9999988079071045,4.86428007206996e-07,7.056909225866548e-07,1286,978,0.8976080000696783,0.9224168502959618,0.8445045180132282
2,0.9999996423721313,1.7208493829912186e-07,2.822807516622561e-07,1218,988,0.9137495877141882,0.945417340291171,0.8354802445198901
3,0.9999997615814209,6.674255814687058e-08,9.129136202545851e-08,1403,1049,0.892065505775492,0.9536710108822292,0.9007133901916956
4,0.9999964237213135,1.6259630228887545e-06,1.922408500831807e-06,1381,978,0.9229158291311134,0.9314187912252976,0.860931617036395
5,0.9999996423721313,1.1677588673819628e-07,1.8482012364984257e-07,1347,902,0.8564632996403831,0.8907827774464763,0.7519039955221045
6,0.9999966621398926,1.2051797284584609e-06,2.169774461435736e-06,1347,962,1.0280663869327,1.07948555861728,1.087011631413541
7,0.99998939037323,3.7917304780421546e-06,6.827438937762054e-06,1361,738,0.9100694832875152,1.0170879862091426,0.829134681031807
8,0.9999979734420776,7.700319883952034e-07,1.3080608596283128e-06,1270,930,0.8943325839335143,0.9303017275156751,0.8087221094467523
9,0.9999438524246216,2.0316329027991742e-05,3.5796572774415836e-05,1337,899,0.8838692737815731,0.8982154056183905,0.786534978293495
10,1.0,4.9648182454120615e-08,5.1319045013542564e-08,1396,935,0.8857245432128457,0.939534759821958,0.7847194773749928
11,0.9999994039535522,2.8136716423432517e-07,3.268519890298194e-07,1347,967,0.8859279611201203,0.922901008902271,0.8299091718012933
12,0.9999988079071045,4.614728652541089e-07,7.296267199308204e-07,1362,828,0.6564139216462721,0.6973932387329721,0.4344947329598286
13,0.9999992847442627,2.3119082470657304e-07,4.4161453160995734e-07,1309,991,0.8951308031247049,0.9030373189858513,0.8016530689573134
14,0.9999977350234985,9.128408464675886e-07,1.3515239061234752e-06,1377,890,0.8704877345514769,0.8728322726473641,0.7577606448479295
15,0.9999996423721313,1.2902918911095185e-07,1.791394481642783e-07,1300,1010,0.895171973382392,0.9486168741237883,0.8302599821931963
16,0.999998927116394,5.36305662990344e-07,6.215905159479007e-07,1312,892,0.8826062767523766,0.9055390989140291,0.7819562780309068
17,0.9999996423721313,1.5599047742398398e-07,2.0802966105293308e-07,1265,992,0.8585932833398712,0.8669734824181866,0.7390443063957554
18,0.9999911785125732,3.6292976801632904e-06,5.282622169033857e-06,1332,957,0.9263674580410677,0.9619584418272698,0.8837409282260035
19,0.9992994070053101,0.0001917572517413646,0.00047574573545716703,1309,986,0.9403001400221784,1.1631748410286455,1.0167428778828118
20,0.9999980926513672,8.636920938442927e-07,1.09418363081204e-06,1280,994,0.9181430238028729,0.968724198574121,0.9372966186841458
21,0.9999754428863525,4.314892521506408e-06,2.027164191531483e-05,1294,980,1.0986678690741951,1.2739117708492653,1.2516596475396782
22,0.9999988079071045,4.182005284292245e-07,6.799974130444753e-07,1369,1064,0.83625558643823,0.8545469692313622,0.7282198467717872
23,0.9999997615814209,8.353145375394888e-08,1.1628348062231453e-07,1274,969,0.9356651380567033,0.9777090201803499,0.9482810799069689
24,0.9999991655349731,3.890980053711246e-07,5.079007223685039e-07,1248,959,0.858998651086642,0.9012399958982095,0.775237632949913
25,0.9999966621398926,1.2399452771205688e-06,2.156853270207648e-06,1317,1054,0.7178363970144801,0.7446659133814625,0.5507431468631616
26,1.0,3.9955114772283196e-08,5.5899366913081394e-08,1288,936,0.8885451221418815,0.9333173958474985,0.8616650457745845
27,0.9999992847442627,2.490293979917624e-07,4.946933245264518e-07,438,682,1.1393516766137977,424.4955586653139,139549.8716834275
28,0.9999994039535522,2.8654611128331453e-07,3.822744929493638e-07,1377,1043,0.7589564357946325,0.8241490722167113,0.6376837283828448
29,0.9999997615814209,7.716369054833194e-08,1.4128646341760032e-07,1262,902,0.9077535195285759,0.9504324126606419,0.8267299167537286
30,0.9999997615814209,6.342484226706802e-08,9.843049753044397e-08,1239,907,0.9238088277793773,0.9688599348746112,0.8579185946492249
31,0.9999974966049194,9.834268439590232e-07,1.5215699704640429e-06,1205,937,0.9529062723176566,0.9765187174528875,0.9511414939907835
32,0.9999997615814209,8.965515263525958e-08,1.2734719234686054e-07,1400,1025,1.0022940762835553,1.0608364213241812,1.1253581839468072
33,1.0,2.9342222873651735e-08,3.7132465990907804e-08,1265,936,0.9096321936719075,0.9636453965359828,0.8983540678752058
34,0.9999996423721313,1.517477272727774e-07,2.732418238338141e-07,1328,985,0.861484300304091,0.881919049436635,0.7759794010964141
35,0.9999812841415405,6.327825303742429e-06,1.2413548574841116e-05,1346,941,0.8686269986208999,0.8805109300371649,0.7578745989957112
36,0.9999998807907104,4.861959013169326e-08,7.179455252526168e-08,1298,958,0.8431069268267942,0.8870394967436603,0.7428578522031619
37,1.0,4.084859384079209e-08,5.1448413529442405e-08,1298,944,0.9046353642236865,0.9174637144003065,0.8186211879230674
38,0.9999997615814209,1.0958578400277474e-07,1.2677391225679457e-07,1304,901,0.9220768647021311,0.9524893385166171,0.906440131727921
39,0.9999991655349731,3.0756066848880437e-07,4.329985188178398e-07,1286,945,0.914875627790377,0.9891604411539545,0.8852870328598579
40,0.9999997615814209,1.2288673190141708e-07,1.5841661138438212e-07,1325,926,0.8272447226724718,0.8510109310363705,0.7228072608930208
41,0.9999994039535522,2.0419183499598148e-07,3.5276542575957137e-07,1384,972,0.9648576466380709,0.972783668557297,0.939017065957193
42,1.0,2.9209939356178438e-08,3.152239003156865e-08,1331,863,0.8915403320440106,0.9411236673708695,0.8857113016766159
43,0.9999997615814209,1.586284241739122e-07,1.4072261933506525e-07,1147,999,0.8245466262206711,0.8521831115261402,0.6962780806480665
44,0.9999977350234985,1.0143783129024087e-06,1.1912242143807816e-06,1357,1004,0.9381964524173022,0.9671043542919128,0.9068927325656527
45,0.9999990463256836,5.18512081271183e-07,5.338436039892258e-07,1307,901,0.8777706707912543,0.8825997972783852,0.7704956916430622
46,0.9999953508377075,1.4602542250941042e-06,3.2063994694908615e-06,1317,993,0.8808857512678807,0.8950826855359694,0.7813595330710613
47,0.9999997615814209,6.834890342588551e-08,9.208005025129751e-08,1331,970,0.8098031165514477,0.8673833925054627,0.6893733642435026
48,0.9999977350234985,9.799517783903866e-07,1.3250709116618964e-06,1339,1040,0.9575772270578432,1.020224674082029,1.018248022515564
