event id,p_spot,p_track,p_worm,x_coord,y_coord,width,length,azwidth
1,0.9999964237213135,1.7521882682558498e-06,1.844929556682473e-06,1287,978,0.8635523946044941,3.5407971296231544,1.4124876276981915
2,0.9999979734420776,5.960466751275817e-07,1.421166871296009e-06,1368,907,1.1620666124102041,2.092196562970297,1.4950603360684425
3,0.9999934434890747,2.654702484505833e-06,3.9557103264087345e-06,1308,960,0.9721384511591091,2.5494817059082355,1.3188856588203148
4,0.999981164932251,8.548230653104838e-06,1.0306711374141742e-05,1287,979,0.8163313989154661,6.208223267622375,2.6559631058871638
5,0.9999926090240479,1.7256368209928041e-06,5.7373363233637065e-06,1367,907,1.093975370107806,1.8015945685865171,1.3474108490765793
7,0.9999984502792358,7.598935098940274e-07,8.004907954273222e-07,1263,1005,0.6517459194767055,5.71820413665171,1.6867753585797274
8,0.9999977350234985,6.902624818394543e-07,1.5344170378739364e-06,1371,907,1.135909094211296,1.3181592604974155,1.3734309919974825
10,0.9999988079071045,3.318198196211597e-07,8.331288086083077e-07,1374,908,1.2073075313405608,1.3592210910625753,1.4675997910566854
11,0.9999988079071045,3.512418231821357e-07,8.867365863807208e-07,1373,912,1.1505361849071936,1.452486260058185,1.3974491663323785
12,0.9999973773956299,5.595621246357041e-07,1.9872379652952077e-06,1358,914,1.1517553838664445,2.2444295644858667,1.5479315514909977
13,0.999998927116394,2.9619701535921195e-07,7.895469025243074e-07,1380,905,1.1783891144630663,1.2451651088490683,1.3953388097951143
14,0.9999963045120239,1.0065999731523334e-06,2.7298526674712775e-06,1356,923,1.0646067813239173,2.4465158834581175,1.5301532807985725
15,0.9999985694885254,7.327785169763956e-07,6.568263870576629e-07,1221,1034,0.5162379506895663,7.67406239042364,2.0040748578331473
16,0.9999970197677612,6.969840455894882e-07,2.30572140935692e-06,1386,893,1.1440465354330764,2.335030815720592,1.7462761244286893
17,0.999969482421875,1.0287362783856224e-05,2.0217001292621717e-05,1317,954,0.989088882392587,2.3805847835008085,1.252198887155843
20,0.9999970197677612,1.5615997881468502e-06,1.4668908079329412e-06,1237,1022,0.715625194317064,5.974334760968683,1.6481548799361738
