event id,p_spot,p_track,p_worm,x_coord,y_coord,width,length,azwidth
11,1.8307384380022995e-05,0.9836282730102539,0.016301890835165977,658,993,1.8603058295482306,320.4948299457305,47264.56672717623
12,0.000728606479242444,0.9858549237251282,0.013336898759007454,1253,965,11.441164206796639,127.18078958715384,5710.405302122922
19,0.009978441521525383,0.5716573596000671,0.4129539728164673,1351,960,17.796953309144925,439.96308604183906,57214.76980606898
24,0.12414779514074326,0.4645560383796692,0.3907284736633301,1273,961,10.871895008168924,63.955556198178186,2969.983672520032
31,0.07187795639038086,0.7955701947212219,0.12847471237182617,1266,981,17.104711617954774,93.4877718355845,3619.3472866242982
36,0.0007806532667018473,0.9168015718460083,0.0822492241859436,1228,1026,28.16540505260325,45.51898450390919,1008.165141363841
37,0.5594892501831055,0.32392022013664246,0.11542708426713943,2433,940,10.254501009539748,724.2311089595079,413191.3166709099
42,0.01899748668074608,0.5816746950149536,0.3984912037849426,1143,835,31.758127122933146,92.1262502387804,7625.75993004685
44,0.0027393815107643604,0.6806526184082031,0.3156844973564148,1465,993,6.063636650700111,99.37786086326719,7885.524561040988
47,0.00014009220467414707,0.9916675686836243,0.008058072067797184,1306,977,4.638820262406995,280.90027306297026,32513.768066220255
65,0.2042156457901001,0.006291291676461697,0.7893889546394348,1621,1189,21.02359576875783,204.4478816262922,41709.474203137506
71,0.004989194683730602,0.7301129698753357,0.26406246423721313,1340,979,0.9676503576806491,54.536312434658164,1933.2525754364049
99,0.00020978497923351824,0.9011467099189758,0.09817232191562653,121,1040,4.193102445729384,527.6830592967491,66728.32981240514
